"lon","lat"
-118.1195838,33.8349919
-118.0527928,33.7204844
-118.2106024,33.7929859
-118.0408951,33.8171965
-118.280376,33.819659
-118.2941661,33.7454251
-118.373685,33.8703535
-80.4269521,25.5291026
-117.9612712,33.8293375
-118.3064525,33.730455
-118.0158975,33.715169
-118.3089175,33.7866601
-118.1303506,33.804997
-118.1757841,33.7681449
-118.357432,33.8523777
-118.3531894,33.8081015
-118.0098631,33.8534459
-117.9931665,33.7847652
-117.0574314,32.5804802
-118.1466492,33.7615079
-118.1164437,33.8593766
-118.2699757,33.7914517
-117.5719001,33.8951043
-117.8417761,33.7549319
-113.8532326,35.4057596
-117.582088,33.9741769
-118.0141835,33.8402791
-118.081083,33.9350513
-118.0617565,33.9773547
-118.0126878,33.8164684
-118.169107,34.0830579
-118.266025,33.8230866
-118.2930069,33.7381329
-118.1261633,33.8972313
-118.1793055,33.8567843
-118.1876861,34.0288811
-118.242301,33.8564933
-117.966581,33.678655
-118.282596,33.733543
-118.0152899,33.9300835
-117.4249329,34.0713823
-117.9981229,33.7556683
-118.1190765,33.9222798
-118.267085,33.8144577
-118.191348,33.7910051
-118.1600647,33.8578039
-118.2634178,33.8076277
-118.3188515,33.9539888
-118.1900481,33.8376938
-118.0937431,33.9049488
-118.2894734,33.727615
-118.2800691,33.7972274
-121.912225,36.617207
-117.769744,33.8628055
-118.2838121,33.7310958
-118.3160973,33.8248269
-118.0142063,33.9371255
-117.8740797,34.0284237
-118.2739357,33.796253
-118.2660421,33.7978227
-118.2598087,33.8043722
-118.3156486,33.8081467
-118.204261,33.9646225
-118.2879491,33.7100896
-117.9174666,33.7660238
-118.1335838,33.9505582
-117.2245304,33.7447823
-118.1571251,33.8429403
-118.1790154,33.78184
-118.2201384,33.8289361
-117.457823,33.916732
-118.161464,33.803786
-118.173929,33.77981
-118.1760478,33.7748081
-117.8516231,33.8330452
-118.2489201,33.7836458
-118.1306946,33.8111499
-118.306633,33.752882
-118.3355097,33.8778529
-118.3044765,33.7936516
-117.886805,33.7120245
-118.3425325,33.9805594
-118.1468211,33.8660369
-118.5127367,34.213743
-118.0479036,33.9839716
-118.2937064,33.7254243
-118.323458,33.790211
-118.318687,33.7417688
-118.0980437,33.9297042
-117.6277,33.967415
-118.2443669,33.9576362
-118.1488762,33.8785658
-118.2916467,33.7087564
-118.3357964,33.9995023
-107.2515542,41.7957582
-118.2447298,33.852385
-117.5608617,33.8767543
-118.2822762,33.7470758
-118.078339,33.9217709
-118.0264083,33.7832398
-117.9205492,33.8709036
-118.1736911,33.8473773
-122.440171,37.776924
-118.1632832,33.8352326
-117.3327465,34.0837874
-118.1705363,33.8450407
-118.314179,33.8967146
-118.3050837,33.8327138
-118.1293312,33.8964056
-117.8426658,33.8431531
-117.2075594,33.8561176
-118.1758411,33.8378313
-118.1333643,33.960472
-118.3515401,33.8815623
-118.0613869,33.8294828
-118.0049559,33.8300244
-89.0682737,32.9961816
-117.294846,33.949301
-118.0479036,33.9839716
-94.954937,29.502623
-118.2425496,34.0377352
-118.1758614,33.7726966
-117.9814589,33.6573902
-118.2515399,33.8302605
-117.8972945,33.9146282
-118.2730146,33.8186809
-117.96997,33.8989341
-118.179004,33.878799
-118.1046409,33.8178833
-117.3230764,33.8835661
-95.2554912,29.4027314
-118.1166965,33.9292927
-118.299874,33.982981
-118.1953723,33.7915306
-117.938328,33.7408294
-118.1387232,33.8020809
-117.7567769,33.8437407
-117.3217458,34.4388455
-97.2740069,32.8832436
-118.197276,33.800187
-118.3086242,33.9841399
-117.960259,34.1011931
-118.4078167,33.9601879
-117.4526178,33.8681274
-118.0491535,33.8119828
-118.1062522,33.9002378
-118.1170426,33.938666
-118.1266197,33.8520895
-95.2441591,38.9430839
-118.1945162,33.7933518
-117.9771123,33.7503788
-118.1488686,33.7856076
-118.1777338,33.8304569
-118.4097643,34.1465211
-118.3474303,33.9177029
-118.0226723,33.841714
-118.1328883,33.9675467
-118.015653,33.7793796
-118.2440541,33.975826
-118.2760219,33.7827789
-118.2157836,33.8195525
-118.3187737,33.8333502
-118.3153949,33.9278745
-118.1142125,33.8781456
-117.6920549,34.0239773
-118.292961,33.8429357
-118.029738,34.5636931
-117.8095513,33.7381901
-118.0425906,33.948532
-117.9543199,33.6490437
-118.2722505,33.8304919
-118.0057448,33.9167137
-118.2773361,33.7839569
-118.336862,33.8792372
-118.3558743,33.8735373
-118.2922541,33.8385414
-118.1831376,34.0372533
-118.3125397,33.7542718
-118.2770233,33.8264436
-118.2562155,33.82594
-118.1366844,33.8585191
-118.118267,33.857401
-119.551643,37.235767
-118.2963361,33.7279114
-118.3207112,33.8165561
-118.2927219,33.7249121
-117.0385238,32.7149504
-117.16379,33.598733
-118.1350372,33.8607383
-117.4134944,34.1586318
-122.4911288,37.7448496
-116.9463376,33.7279518
-117.990081,33.9154913
-118.2474011,34.0505524
-118.3188843,33.7563776
-118.1908309,33.7802341
-117.2877377,33.6823975
-118.1068564,33.8867157
-118.2735697,33.7753888
-117.1065535,33.4680577
-118.067154,33.9104648
-118.2594792,34.0365464
-117.80995,33.772306
-118.2616895,33.8120678
-118.1390884,34.0442149
-117.2345149,33.6619062
-118.2856713,34.0102316
-117.9590546,33.7607509
-117.6110348,33.6632081
-121.8372225,37.9821096
-118.0066492,33.9314746
-118.271034,33.790238
-118.1143931,33.820482
-118.2934228,33.8445925
-118.039183,33.951484
-149.8180085,61.1500244
-117.3478808,33.6367684
-118.2092233,33.9281525
-118.2582268,33.8070456
-118.2937865,34.0760606
-118.145812,33.8488268
-117.4664768,33.879657
-118.1139025,33.8758965
-118.1001129,34.7108172
-118.2656862,33.8584746
-118.2645213,33.7937295
-118.1302806,33.9044396
-118.269983,33.7915788
-118.2669363,33.8223465
-118.27272,33.82859
-117.3336432,33.9875439
-118.2922196,33.7272383
-118.3169984,33.7958096
-118.3047552,33.7379096
-117.81358,34.0023756
-118.1472471,33.7776727
-118.2720806,33.7800268
-118.0704831,34.009693
-118.3571684,34.0454778
-117.920757,33.940335
-118.1763163,33.7656908
-118.2603,33.792523
-117.5883513,33.8612275
-118.1900653,33.9656667
-118.27272,33.82859
-118.2911698,33.8872466
-118.2245819,33.8323375
-117.8884096,33.8024918
-118.295463,33.8452175
-117.5530649,34.1166608
-117.161799,33.5405288
-118.2481168,33.7812284
-118.1463585,33.8568639
-117.4629942,34.123341
-118.157893,33.9110322
-118.302364,33.819832
-117.9681157,33.7765277
-118.2819735,33.7799671
-118.7742741,34.2443207
-117.8019969,33.7766931
-117.569284,33.9685587
-117.946137,33.9318591
-118.2013726,33.8821222
-118.13493,33.873541
-118.1809679,33.7965616
-117.4434031,33.9388358
-118.2642518,33.8235032
-118.2201599,33.826171
-118.2086413,33.7996228
-117.7370174,33.8491037
-118.2900243,33.8848467
-117.3866856,34.1125696
-118.2913146,33.7267175
-118.2652825,33.8200151
-118.1424031,33.7817775
-118.223029,33.8314359
-117.2443421,33.660932
-117.9827988,33.915409
-118.2725106,33.8372717
-118.0099385,33.9360496
-117.1366062,33.5783225
-117.7954096,33.7634767
-118.3213477,33.8465902
-118.1040178,33.936853
-118.2683277,33.7931938
-118.1300668,33.8526335
-118.2987317,33.7830404
-117.3065001,33.8921395
-118.2192253,33.9269799
-118.026735,33.9034667
-118.2674011,33.8166366
-118.0099385,33.9360496
-118.2565323,33.8838321
-118.152686,34.02941
-118.2032334,33.9407316
-118.2965709,33.8834658
-118.3282499,33.9029372
-118.1326692,33.946291
-118.275454,33.7833256
-118.2583589,33.8070517
-117.7045452,34.0661694
-118.1383037,33.9611348
-117.7241867,34.064178
-118.1304993,33.966215
-119.1575058,34.2024434
-117.770639,33.871765
-118.1537561,33.7860384
-118.3575305,33.9293114
-118.1249135,33.8431385
-118.1507641,33.8523547
-118.2350062,34.1172865
-118.207331,34.0983053
-118.1134404,33.8437352
-118.1728019,34.0835866
-118.2451504,33.8320372
-118.294537,33.8000898
-122.6825563,45.6388131
-117.944298,33.823523
-118.2762377,33.8218024
-119.7541307,36.7451152
-118.27484,33.782946
-118.118274,33.8934181
-118.1607226,33.9167113
-117.8708052,33.898731
-118.1747755,33.8946134
-118.0190692,33.7151852
-118.3104645,33.9349085
-117.9814589,33.6573902
-118.1656981,33.7955533
-118.278343,33.7948437
-118.382973,33.957866
-118.1570218,33.8902347
-118.2900516,33.88415
-117.2664702,33.632585
-118.266025,33.8230866
-118.2954662,33.7209005
-118.2012926,33.77075
-118.27767,33.832878
-118.2568824,33.7871913
-117.2125025,33.932504
-118.2776327,33.7854437
-118.1661917,33.793323
-118.1802175,34.0507697
-118.0642148,33.9072329
-118.0857532,33.866674
-117.2832809,34.4114937
-118.1978483,33.9027881
-118.4556856,34.2551367
-118.18262,33.803147
-118.3125397,33.7542718
-118.0755753,33.8502911
-118.0103476,33.9247563
-118.2757493,33.7739348
-118.1793827,33.7997937
-117.6350014,34.0680067
-118.0678789,34.0787584
-118.3302413,33.9911664
-118.2114943,33.7914704
-118.2773861,33.77368
-118.1901515,34.0685119
-118.269442,33.828354
-117.8085516,33.8138541
-118.1919586,33.8177209
-117.3858956,33.9635763
-118.0654851,33.8902994
-118.2618776,33.9358543
-118.1069737,33.9051543
-117.3156823,34.4607695
-118.269286,33.8126884
-118.1279313,33.8293896
-118.4857252,34.0335489
-118.1707216,33.8566909
-118.1503463,33.8641049
-118.18515,33.918494
-118.121279,33.8969417
-118.2195038,33.7997764
-118.3630023,33.842309
-118.2751003,33.9511757
-118.1192693,33.8842601
-117.399339,33.990017
-118.2534903,33.8698661
-118.3742853,33.9784486
-118.3330237,33.9956604
-93.9992458,29.959018
-118.1603951,33.8384874
-118.1531992,33.7885352
-118.2413281,33.8842182
-117.900922,33.9908306
-118.2975304,33.7189581
-118.3562507,33.9747893
-118.2706079,33.7863807
-118.2719136,33.7791973
-118.298661,33.7448162
-118.2687612,33.7933311
-118.1921912,33.9366962
-118.1547649,33.8659784
-118.3674332,33.8522038
-118.209506,33.9048676
-117.9044933,33.7011066
-118.1733138,33.8388066
-117.9735183,33.7394268
-118.3188963,34.0026194
-118.3312392,33.9064969
-118.1792484,33.9322897
-118.0099385,33.9360496
-118.2294363,33.9876649
-118.13621,33.7883329
-118.1572463,33.7756536
-118.2079074,33.8236381
-117.211274,33.8645843
-118.2461541,33.8872653
-117.2054802,34.0470317
-118.2006329,33.918556
-118.3663003,33.9715934
-118.0959779,34.5536899
-118.2903209,33.7425316
-118.075807,33.781801
-117.8632642,33.7163413
-118.2624896,33.7986709
-118.2672459,33.7853077
-90.4651111,30.0882259
-118.2656154,33.7864927
-84.4108586,33.5702274
-118.3174879,33.9320489
-118.2711609,33.7927427
-118.2192253,33.9269799
-117.8468191,33.9261548
-118.2796252,34.0154324
-118.2945409,33.9339956
-118.1618082,33.8577734
-118.2228805,34.0851039
-118.2400653,34.1104885
-122.1483584,37.4524844
-118.2732552,33.792619
-118.1492089,34.09472
-118.100439,33.8234006
-118.1140684,33.8481081
-118.3057459,33.9354611
-117.8078406,34.0120858
-118.2864462,34.0718638
-118.3040982,33.8228925
-117.9956045,33.8112098
-117.948218,33.7799202
-117.4948791,33.9755497
-117.2145957,33.7904466
-118.2736091,33.7758609
-118.18308,33.92048
-118.181441,33.783934
-118.0506943,33.9858428
-118.1881474,33.8383715
-118.5370907,34.2373181
-118.1214323,33.8804581
-118.2634423,33.810771
-118.213057,33.8858691
-118.0744133,33.8536322
-117.8880198,33.7952925
-118.1834282,33.9771299
-118.1104046,33.8960686
-118.3326452,34.0206168
-118.2699239,33.8773227
-118.361375,33.964025
-118.1971956,33.8158578
-118.1499196,33.7801802
-118.0749537,33.914844
-118.2606143,33.8244742
-117.5038848,33.8104549
-118.145475,33.8014052
-118.1535338,33.841566
-118.1299876,33.8824363
-118.2000832,33.8514481
-114.9908826,35.9923513
-117.325035,33.91822
-118.1386388,33.8677004
-118.1890057,33.9246244
-118.1979972,33.938462
-117.8745487,33.7813074
-118.2863357,33.8131723
-118.2770711,33.7783414
-118.247264,33.832278
-118.0744133,33.8536322
-118.2547136,33.8265101
-118.1340917,33.8629685
-118.2149071,33.9168368
-118.2713116,33.7948125
-118.4675878,33.9981335
-118.1766394,33.8270317
-118.3208441,33.8658126
-118.2697785,33.902807
-118.186791,33.8315309
-118.1392257,33.8737089
-117.2501501,33.9478525
-118.1934177,33.9338924
-118.310182,33.786646
-118.3157667,33.9367963
-118.3007825,33.7918675
-116.9523166,33.9211748
-118.1754896,33.8726972
-118.2439626,33.8552132
-118.3834936,33.8081473
-118.209225,33.803511
-93.9992458,29.959018
-118.334331,34.0310018
-118.2493075,33.8916932
-118.1929317,33.949255
-118.1690008,33.8733484
-118.1879963,33.7977082
-118.2665739,33.8320915
-118.1841624,33.9842549
-118.3203071,33.8120158
-118.041246,33.763913
-118.0942239,33.9304996
-118.3460553,34.0217014
-118.1194949,33.9937371
-118.2674624,33.8227606
-118.2953254,33.7919424
-118.2622368,33.795617
-118.0937583,33.9195355
-118.157521,33.788464
-117.2778741,34.1608108
-118.2769946,33.7847112
-118.278252,33.9325542
-118.1047682,33.7414085
-118.279066,33.78222
-118.1881679,33.8968884
-118.3052285,33.9232804
-118.3427393,33.9965565
-118.1535007,33.7725283
-118.3038883,33.7193306
-118.2905052,33.9452887
-118.2151837,33.7941384
-118.21855,33.9477314
-92.118181,46.772726
-118.1972838,33.8057715
-117.458751,34.0440524
-118.1166481,33.8839838
-118.2773861,33.77368
-118.1967895,33.8132292
-118.1668164,33.7936375
-118.381531,33.857523
-118.3200719,33.9993155
-118.0980514,33.9472304
-118.0606241,33.9076268
-118.3106192,33.8993322
-118.3834302,33.8578534
-118.2460508,33.8290712
-117.6350014,34.0680067
-118.3018106,33.7625703
-118.1925581,33.9335336
-118.2948514,34.0109606
-118.4499815,34.2718015
-117.5015633,34.041792
-118.1967227,33.8052386
-118.3159737,33.8064892
-117.5644354,34.0775742
-118.2038029,33.8117878
-118.304853,33.7867603
-118.3764057,33.9848887
-118.2789329,33.9557767
-117.7027064,33.6222009
-118.2629498,34.0048088
-118.3177592,33.9563518
-118.3471004,33.8988685
-117.246226,33.960902
-118.0659034,33.8775147
-118.2789934,34.0002764
-117.4991059,33.9404992
-118.273131,33.963074
-118.2772479,33.8381682
-118.1384905,33.7615814
-118.150604,34.022731
-118.0782697,33.8405464
-118.2146935,33.9260541
-118.2926355,33.7286365
-118.2988089,33.9729476
-90.926385,32.327365
-118.2997214,33.9058078
-118.3469634,33.8944461
-118.3488873,33.9180419
-118.2431278,33.8508343
-118.1261604,34.012491
-118.5026585,34.2245586
-117.3151569,34.0398927
-118.2992015,33.7416758
-118.1751438,33.8635773
-118.180877,33.888612
-118.2920815,33.7505404
-118.2445853,33.9093063
-118.2466402,33.9330384
-116.4050098,34.1185895
-118.3607516,33.9641496
-118.1727686,33.7765387
-118.01746,33.7803604
-118.1832078,33.8537106
-118.3460854,34.0441279
-118.2040421,33.8090022
-118.301793,33.724022
-118.1655861,33.870516
-118.2068151,33.8958599
-118.2745629,33.8137814
-118.336691,34.0183478
-117.9948329,33.6725709
-118.1970964,34.0543697
-118.1984151,33.7907597
-118.0783026,33.8791245
-118.2851734,34.0328725
-118.1443531,33.8485946
-118.2830397,33.9377071
-118.2742861,33.785363
-118.1447639,33.8676829
-118.1235512,33.9274486
-118.3059563,33.8318053
-118.1129801,33.9175469
-118.1420002,33.8449197
-118.1692259,33.8657469
-117.9895606,34.1480084
-118.1218458,33.8419654
-118.1475193,33.9255043
-118.296508,33.9233405
-80.8665755,35.2307618
-118.2703289,34.0167643
-118.2117093,33.8198431
-118.2472614,33.9096918
-118.3206483,33.9815716
-115.2478265,36.188004
-118.2568746,33.9941643
-118.2645365,33.7869871
-118.2854038,34.0051841
-118.0483456,33.7106359
-118.339276,34.0251617
-117.2290114,33.8772484
-118.1937243,33.7898474
-118.1795636,33.7702772
-118.3592614,33.9011773
-118.2439626,33.8552132
-118.1427897,33.9217758
-118.0761028,34.0147516
-118.32763,33.7945119
-118.1650382,33.7859932
-118.2665739,33.8320915
-118.2713624,33.8103066
-118.308,33.829921
-118.1994549,33.8999648
-118.2451381,33.8492034
-118.2635173,33.7891809
-118.3085733,33.8294172
-118.330296,33.969713
-118.2152043,33.9111242
-118.1759532,33.8499545
-118.3147317,33.8238601
-118.2922967,33.794143
-117.9492864,33.7090973
-118.3172326,33.9706396
-118.293087,33.844232
-118.2599172,33.9580973
-117.5644059,33.8617828
-118.1984106,34.6646866
-118.2157825,33.9152722
-118.3093611,33.9425163
-118.2366552,33.9391401
-118.2891629,33.9461116
-118.1695583,33.7761868
-118.1176599,33.8794501
-118.2556285,33.9631735
-118.1548777,33.7867761
-117.9131796,33.6561453
-117.2151451,33.9199376
-118.2631669,33.8556662
-118.2796778,33.7892441
-118.31523,33.8260078
-118.3407329,33.8777981
-103.2916721,47.8014265
-118.2746968,33.7858279
-118.0006681,33.8754572
-118.3026257,33.8311915
-118.065116,33.8377199
-118.0447159,34.0823449
-117.2524608,33.9461219
-118.2020706,33.8762228
-117.4763052,33.9279756
-118.3044742,34.0383649
-94.9159099,29.7921132
-100.6535019,46.7706903
-117.9867825,33.8515782
-118.1606191,33.8580235
-117.598234,33.8496444
-85.981937,43.627885
-118.294984,34.014919
-118.285382,33.819361
-118.008252,33.9478176
-87.9642556,42.6398147
-118.2664621,33.8261606
-118.231607,33.9386719
-118.184624,33.7683996
-118.2049291,33.8668738
-118.3268661,33.927084
-118.2906848,33.9823914
-118.1497833,33.9085064
-118.2464968,33.9100024
-118.0960466,33.9248548
-118.3154459,33.9881116
-118.2207499,33.8113407
-118.2856305,33.9300102
-118.3511828,34.0282045
-118.2883181,33.9233642
-118.2959851,33.9204634
-118.2598087,33.8043722
-118.382973,33.957866
-118.4496827,34.4109843
-118.2503185,33.8713462
-118.2986791,33.7415244
-118.2436849,34.0522342
-118.1527886,33.7765923
-118.1593466,33.8368923
-118.3196738,33.807176
-118.3500899,34.0175562
-118.2886233,33.9011939
-118.3015612,33.9320496
-118.3558198,33.9715113
-118.0946256,33.8335419
-118.2512985,33.8480347
-117.573986,34.022282
-119.1614153,34.1672206
-117.371387,34.4051025
-118.275239,33.9345726
-117.6857183,34.0993878
-118.1750901,33.7669684
-118.1616526,33.9087183
-118.2471451,33.8857605
-117.4302268,33.7259617
-118.2986791,33.7415244
-118.1728798,33.7873876
-115.0981141,36.228613
-118.3145805,33.8881029
-118.1882336,33.7959785
-118.1616526,33.9087183
-118.1222657,33.9260384
-118.2607926,33.8526308
-118.2553138,33.7911493
-118.451685,33.9790509
-118.3247066,33.9068534
-98.0346193,43.7101834
-117.6665364,34.0267774
-118.2942113,33.8374566
-118.2374843,33.9076369
-117.1843796,34.0720952
-118.3148877,33.9517516
-118.2986614,33.9351238
-118.2558297,33.9020657
-118.2676635,33.8250169
-117.616713,34.0679002
-118.3178831,33.9584763
-118.3583797,33.895157
-118.2772077,33.9271466
-118.14923,33.878883
-118.2863308,33.9964538
-118.027793,33.811591
-118.2420591,33.9103893
-118.1009943,33.8809832
-118.3597842,33.9725317
-118.117476,33.8061034
-118.1776953,33.7888799
-118.305429,33.978689
-117.9915801,33.9191868
-117.2849118,33.840185
-117.9895572,33.9420448
-117.6918476,34.0994646
-118.319572,33.810933
-118.1561225,33.8394595
-118.2797653,33.8433983
-118.2436849,34.0522342
-118.2011766,33.8861714
-118.2863052,33.731505
-118.2072382,33.918503
-118.2686168,33.808184
-118.3377299,33.9093654
-118.2968788,33.8627232
-117.080495,33.783577
-118.2817284,33.9763821
-118.2436849,34.0522342
-118.2887954,34.0007555
-118.317817,33.8764746
-118.2590926,33.9956055
-118.2673065,33.8139181
-118.2708642,33.8065703
-117.4392207,34.1109867
-150.931251,60.500816
-118.2083125,33.8762495
-118.3381481,34.0321643
-118.2522819,33.9945808
-118.1352195,33.8371094
-117.9976727,33.7275613
-118.2671299,33.7763655
-118.3138422,33.9706259
-117.568447,34.1077951
-118.1631467,33.8884263
-118.295683,33.839453
-118.1223638,33.8866947
-118.124182,33.880548
-118.302723,33.9553433
-118.0714824,33.7887619
-118.2693301,33.9807946
-118.2696306,33.7983011
-118.0414358,33.7824588
-118.296575,33.734513
-117.6732348,34.0158325
-118.3433931,33.8931618
-118.281593,33.936743
-118.003848,33.815459
-118.2703451,33.8220676
-118.1176592,33.877215
-118.210193,33.9328309
-118.2799952,34.053107
-118.3545679,33.9847271
-115.0775791,36.2012398
-118.2693578,33.9063807
-118.242818,33.900825
-118.2757477,33.8344903
-118.3042068,33.8388315
-118.1920032,33.7772284
-118.3029193,33.7338737
-118.308166,33.946388
-118.270591,33.7843983
-118.2676126,33.9257627
-118.2114603,33.930293
-117.9576334,33.8158657
-118.2785571,33.8247403
-117.2548968,34.5108561
-118.3359846,33.9278211
-118.2621764,33.8115901
-116.879913,33.918714
-118.295683,33.839453
-118.1618073,33.857518
-117.8034683,33.8938699
-118.3095601,34.0239156
-118.1959928,33.7771621
-118.4307818,33.9742271
-118.2327872,33.8916561
-118.2871555,33.7077847
-118.2289915,33.91551
-118.2642348,33.7983758
-117.2571907,33.9663735
-118.2679127,33.8039608
-118.3050058,33.7824994
-118.244691,34.041611
-118.0546259,33.8591121
-118.1481503,34.7058311
-90.4651111,30.0882259
-118.2600841,33.9247706
-118.2470642,33.9334955
-118.3107268,33.9159676
-118.3365851,33.9188113
-118.319974,33.8208797
-117.993606,34.1511537
-118.3031152,33.9501226
-118.2808236,33.8098114
-118.2943552,34.0936254
-118.2219147,33.8555467
-118.1331121,33.8694047
-118.3729229,34.2002931
-118.1738298,33.7806492
-118.19463,33.9721874
-120.8008787,35.5423684
-118.2127407,33.8722921
-117.9576334,33.8158657
-118.2730535,33.824597
-89.749308,30.249839
-118.18919,33.949035
-118.287914,33.886834
-118.2012363,33.770716
-118.19463,33.9721874
-118.344445,33.9149723
-117.918927,33.9771501
-118.2563305,33.8553535
-118.0262852,33.7712303
-118.3892434,34.0333943
-118.3313539,33.736084
-118.2882208,33.9643875
-118.2971168,33.7208487
-118.3011211,33.9005881
-117.615808,34.096441
-117.9093284,34.0305189
-118.0278442,34.5593561
-118.296394,33.905948
-118.1834412,33.7723722
-118.2929597,33.7288059
-118.1966784,33.8032562
-117.994003,34.131461
-117.7499834,33.6445449
-118.2811777,33.7930073
-118.2838287,33.9864683
-89.908359,35.2505547
-118.3846773,34.0410218
-118.1752762,33.9638084
-118.2334145,33.9182372
-118.3295467,33.9584536
